,customer_id,name,age,salary,signup_date,city,product,quantity,satisfaction_score
0,C1088,Hiro O'Neil,29.1,44959.0,2025-04-23,Mumbai,Doohickey,7,82.0
1,C1022,Bob O'Neil,58.7,63776.0,2024-09-13,Tokyo,Gizmo,2,60.4
2,C1060,Jamal Müller,51.9,74685.0,2024-11-29,Tokyo,Gizmo,8,68.56963562753035
3,C1234,Elena Nguyen,39.2,81096.0,2025-10-13,Lisbon,Gizmo,5,67.9
4,C1199,Jamal Kowalski,24.3,58309.0,2024-04-06,Austin,Sprocket,4,56.7
5,C1109,Hiro Müller,44.3,86825.0,2025-07-28,Austin,Gizmo,7,68.1
6,C1002,Grace O'Neil,43.8,75018.0,2025-05-04,Mumbai,Sprocket,7,70.6
7,C1081,Elena Kowalski,36.2,93997.0,2025-11-25,Mumbai,Gizmo,6,86.4
9,C1193,Dana Nguyen,33.1,46629.0,2025-07-30,Nairobi,Widget,8,87.4
10,C1113,Elena Kim,38.7,48756.0,2024-08-13,Lisbon,Gadget,8,72.2
11,C1209,Hiro Smith,43.2,76513.0,2025-11-13,Berlin,Widget,3,54.6
12,C1162,Elena Kowalski,35.7,77630.0,2024-10-23,Austin,Sprocket,8,87.4
13,C1122,Grace Nguyen,35.8,69903.0,2024-07-06,Sydney,Sprocket,7,62.4
14,C1215,Carlos Kim,43.4,64044.11983471074,2024-03-06,Austin,Sprocket,8,39.3
15,C1114,Frank Smith,39.8914798206278,58838.0,2024-06-13,Berlin,Gadget,4,85.2
16,C1066,Jamal Müller,57.4,41913.0,2025-12-05,Sydney,Gizmo,8,44.2
17,C1132,Alice Kim,20.2,76252.0,2024-07-15,Austin,Widget,9,81.8
18,C1057,Bob Silva,23.4,78733.0,2025-07-07,Nairobi,Doohickey,8,90.2
19,C1003,Elena Kowalski,39.8914798206278,70336.0,2024-06-17,Berlin,Doohickey,2,71.5
20,C1203,Grace Smith,55.2,46729.0,2024-11-10,Toronto,Sprocket,5,65.9
21,C1108,Elena Smith,43.3,68193.0,2025-09-26,Lisbon,Sprocket,5,75.3
22,C1187,Dana Kim,32.5,79000.0,2024-03-01,Lisbon,Gadget,5,26.3
23,C1074,Grace Kim,39.8914798206278,53846.0,2024-06-19,Nairobi,Gadget,8,67.4
24,C1147,Carlos O'Neil,33.7,23234.0,2025-07-30,Nairobi,Widget,2,44.6
25,C1070,Hiro Kowalski,19.0,91121.0,2024-04-19,Berlin,Sprocket,3,63.5
26,C1220,Bob Müller,39.8914798206278,95273.0,2024-06-25,Mumbai,Sprocket,1,58.9
27,C1046,Elena Haddad,59.8,57375.0,2024-10-07,Mumbai,Doohickey,4,88.8
28,C1150,Ingrid Kim,21.4,61380.0,2024-01-19,Tokyo,Doohickey,4,93.4
29,C1232,Alice Kowalski,39.8914798206278,63565.0,2025-06-01,Tokyo,Sprocket,5,74.5
30,C1227,Frank Smith,31.5,45318.0,2025-08-02,Lisbon,Sprocket,4,56.6
31,C1129,Grace Kowalski,48.0,71979.0,2024-04-17,Sydney,Doohickey,4,87.7
32,C1164,Elena Smith,42.3,64782.0,2025-01-16,Berlin,Gizmo,3,54.9
33,C1141,Carlos O'Neil,54.2,70653.0,2025-06-26,Mumbai,Sprocket,4,75.5
34,C1050,Hiro Kowalski,23.9,33051.0,2024-07-21,Berlin,Sprocket,8,55.2
