customer_id,name,age,salary,signup_date,city,product,quantity,satisfaction_score
C1088,Hiro O'Neil,29.1,"$44,959",04-23-2025,Mumbai,Doohickey,7.0,82.0
C1022,Bob O'Neil,58.7,"$63,776",13 Sep 2024,Tokyo,Gizmo,2.0,60.4
C1060,Jamal Müller,51.9,"$74,685",11-29-2024,Tokyo,Gizmo,8.0,-999.0
C1234,Elena Nguyen,39.2,"$81,096",2025-10-13,Lisbon,Gizmo,,67.9
C1199,Jamal Kowalski,24.3,"$58,309",2024-04-06,Austin,Sprocket,4.0,56.7
C1109,Hiro Müller,44.3,"$86,825",28/07/2025,Austin,Gizmo,7.0,68.1
C1002,Grace O'Neil,43.8,"$75,018",2025-05-04,Mumbai,Sprocket,7.0,70.6
C1081,Elena Kowalski,36.2,"$93,997",2025-11-25,Mumbai,Gizmo,6.0,86.4
C1024,Hiro Nguyen,48.4,"$48,805",2024-13-45,NA,Gadget,2.0,62.2
C1193,Dana Nguyen,33.1,"$46,629",30/07/2025,Nairobi,Widget,8.0,87.4
C1113,Elena Kim,38.7,"$48,756",13 Aug 2024,Lisbon,Gadget,8.0,72.2
C1209,Hiro Smith,43.2,"$76,513",11-13-2025,Berlin,Widget,3.0,54.6
C1162,Elena Kowalski,35.7,"$77,630",2024-10-23,Austin,Sprocket,8.0,87.4
C1122,Grace Nguyen,35.8,"$69,903",07-06-2024,Sydney,Sprocket,7.0,62.4
C1215,  CARLOS KIM ,43.4,N/A,03/06/2024,Austin,Sprocket,8.0,39.3
C1114,Frank Smith,,"$58,838",13 Jun 2024,Berlin,Gadget,4.0,85.2
C1066,Jamal Müller,57.4,"$41,913",12/05/2025,Sydney,Gizmo,8.0,44.2
C1132,Alice Kim,20.2,"$76,252",07-15-2024,Austin,Widget,9.0,81.8
C1057,Bob Silva,23.4,"$78,733",07/07/2025,Nairobi,Doohickey,8.0,90.2
C1003,Elena Kowalski,17.1,"$70,336",06-17-2024,Berlin,Doohickey,2.0,71.5
C1203,Grace Smith,55.2,"$46,729",11-10-2024,Toronto,Sprocket,,65.9
C1108,  ELENA SMITH ,43.3,"$68,193",26/09/2025,Lisbon,Sprocket,5.0,75.3
C1187,  DANA KIM ,32.5,"$79,000",03-01-2024,Lisbon,Gadget,5.0,26.3
C1074,  GRACE KIM ,,"$53,846",19 Jun 2024,Nairobi,Gadget,8.0,67.4
C1147,Carlos O'Neil,33.7,"$23,234",30/07/2025,Nairobi,Widget,2.0,44.6
C1070,Hiro Kowalski,19.0,"$91,121",2024-04-19,Berlin,Sprocket,3.0,63.5
C1220,Bob Müller,14.1,"$95,273",25 Jun 2024,Mumbai,Sprocket,1.0,58.9
C1046,Elena Haddad,59.8,"$57,375",2024-10-07,Mumbai,Doohickey,4.0,88.8
C1150,Ingrid Kim,21.4,"$61,380",19 Jan 2024,Tokyo,Doohickey,4.0,93.4
C1232,Alice Kowalski,,"$63,565",06/01/2025,Tokyo,Sprocket,5.0,74.5
C1227,Frank Smith,31.5,"$45,318",08-02-2025,Lisbon,Sprocket,4.0,56.6
C1129,Grace Kowalski,48.0,"$71,979",17 Apr 2024,Sydney,Doohickey,4.0,87.7
C1164,Elena Smith,42.3,"$64,782",01-16-2025,Berlin,Gizmo,3.0,54.9
